Time,price,volume
2013-04-01 00:00:00 UTC,133.249238879483,83249056.8540289
2013-04-08 00:00:00 UTC,148.546547229247,252183306.433191
2013-04-15 00:00:00 UTC,97.3043541302289,201756971.224309
2013-04-22 00:00:00 UTC,134.979130812531,150634988.339609
2013-04-29 00:00:00 UTC,118.411761832886,156190704.738185
2013-05-06 00:00:00 UTC,113.319177812209,77949141.6785769
2013-05-13 00:00:00 UTC,114.527067753258,61521939.4417439
2013-05-20 00:00:00 UTC,123.080456917665,32948474.8847376
2013-05-27 00:00:00 UTC,127.549752198356,44441611.4170545
2013-06-03 00:00:00 UTC,114.816214063406,52688663.2059596
2013-06-10 00:00:00 UTC,103.608468274254,32598894.2935123
2013-06-17 00:00:00 UTC,103.651809452683,32308798.3367982
2013-06-24 00:00:00 UTC,96.2268285443327,32949008.9213107
2013-07-01 00:00:00 UTC,77.8989296055376,51439782.5249034
2013-07-08 00:00:00 UTC,83.5001617128253,48917835.8301619
2013-07-15 00:00:00 UTC,89.2290919003903,26701305.8437367
2013-07-22 00:00:00 UTC,89.4794370651181,21722812.568663
2013-07-29 00:00:00 UTC,97.3336249974493,27908980.9644967
2013-08-05 00:00:00 UTC,97.3885693138167,17961007.2366015
2013-08-12 00:00:00 UTC,99.7828250630366,25626900.2344625
2013-08-19 00:00:00 UTC,109.276361188938,35426247.6195932
2013-08-26 00:00:00 UTC,121.957153167477,43839688.5132402
2013-09-02 00:00:00 UTC,125.266751220991,35825525.0614289
2013-09-09 00:00:00 UTC,126.3070918534,34789022.0786953
2013-09-16 00:00:00 UTC,127.127435842162,21781655.2607472
2013-09-23 00:00:00 UTC,127.127717570217,23944019.069636
2013-09-30 00:00:00 UTC,123.898943316535,51913112.7814349
2013-10-07 00:00:00 UTC,128.215753910731,28093724.8855649
2013-10-14 00:00:00 UTC,149.024369749497,76911512.5983647
2013-10-21 00:00:00 UTC,185.173874849077,126229862.999656
2013-10-28 00:00:00 UTC,200.590051517536,48233456.9515064
2013-11-04 00:00:00 UTC,278.309563772932,287784649.747821
2013-11-11 00:00:00 UTC,396.825481127272,231100818.498554
2013-11-18 00:00:00 UTC,671.575345616631,650021888.864646
2013-11-25 00:00:00 UTC,963.226464911198,738441830.723777
2013-12-02 00:00:00 UTC,934.813964356769,897107454.277088
2013-12-09 00:00:00 UTC,885.852130284593,400087497.357766
2013-12-16 00:00:00 UTC,659.410498771927,710914826.016261
2013-12-23 00:00:00 UTC,698.718795655605,247373565.329508
2013-12-30 00:00:00 UTC,787.809038798714,277619018.388366
2014-01-06 00:00:00 UTC,874.580924113078,461537344.067009
2014-01-13 00:00:00 UTC,836.862308630353,209328449.460733
2014-01-20 00:00:00 UTC,834.535496452828,182321384.235641
2014-01-27 00:00:00 UTC,823.124446977677,200652931.380091
2014-02-03 00:00:00 UTC,771.909131769126,321778146.716753
2014-02-10 00:00:00 UTC,631.928685076473,535277239.770015
2014-02-17 00:00:00 UTC,555.900667853431,305941609.262916
2014-02-24 00:00:00 UTC,551.410621128132,366316350.973688
2014-03-03 00:00:00 UTC,642.334209924277,253719538.241741
2014-03-10 00:00:00 UTC,633.497834063379,92122198.104882
2014-03-17 00:00:00 UTC,595.970555056353,121575627.50518
2014-03-24 00:00:00 UTC,535.244964399977,199546974.635005
2014-03-31 00:00:00 UTC,454.606443160888,176967937.301619
2014-04-07 00:00:00 UTC,430.800580910235,178109545.813014
2014-04-14 00:00:00 UTC,490.8225599003,222554532.095965
2014-04-21 00:00:00 UTC,476.80924122359,115091042.674413
2014-04-28 00:00:00 UTC,442.903059858971,86155215.9872421
2014-05-05 00:00:00 UTC,439.438783007631,71653423.0572897
2014-05-12 00:00:00 UTC,444.508343125242,36969605.6078091
2014-05-19 00:00:00 UTC,503.684337791579,156565170.976172
2014-05-26 00:00:00 UTC,591.724472440091,199187152.686216
2014-06-02 00:00:00 UTC,650.901201900758,174444387.070786
2014-06-09 00:00:00 UTC,614.403199476295,185503872.789958
2014-06-16 00:00:00 UTC,599.451895790055,101518346.216135
2014-06-23 00:00:00 UTC,586.156961489829,86945371.9719685
2014-06-30 00:00:00 UTC,638.053039810633,125904252.178498
2014-07-07 00:00:00 UTC,625.123814868632,70344458.1843216
2014-07-14 00:00:00 UTC,622.720476795609,62562291.5435062
2014-07-21 00:00:00 UTC,609.035623747453,71849972.3233505
2014-07-28 00:00:00 UTC,583.814728379588,99917308.2659683
2014-08-04 00:00:00 UTC,587.945048782237,62892371.6938849
2014-08-11 00:00:00 UTC,534.274522223645,169816058.689266
2014-08-18 00:00:00 UTC,499.464337030412,175576328.209881
2014-08-25 00:00:00 UTC,506.533563215307,91822866.9530373
2014-09-01 00:00:00 UTC,481.947591707809,74148879.2472844
2014-09-08 00:00:00 UTC,476.79771876628,90075598.8847509
2014-09-15 00:00:00 UTC,438.037832654134,164441036.127821
2014-09-22 00:00:00 UTC,408.847585334173,158855499.013127
2014-09-29 00:00:00 UTC,366.642820019501,213677675.447672
2014-10-06 00:00:00 UTC,349.614944368487,262256560.989921
2014-10-13 00:00:00 UTC,387.363603394065,195918872.186863
2014-10-20 00:00:00 UTC,369.43289078862,136877885.97103
2014-10-27 00:00:00 UTC,341.751027486244,127804408.90738
2014-11-03 00:00:00 UTC,338.895031774885,128429651.374239
2014-11-10 00:00:00 UTC,390.317645984558,365091793.116684
2014-11-17 00:00:00 UTC,371.151367363427,184670198.751437
2014-11-24 00:00:00 UTC,375.285339918613,179596272.707121
2014-12-01 00:00:00 UTC,376.414742039634,96979451.0212939
